doubling every day;doubling every 2 days;doubling every 4 days;doubling every 10 days;Australia;China;Denmark;Canada;France;United Kingdom;India;date
6.189700196426901e+28;2487910809580380.0;498789615.9284373;47771.28916668455;7265.0;83817.0;12148.0;97779.0;186923.0;256469.0;297535.0;89
1.2379400392853803e+29;3518437208883200.0;593164160.1515722;51200.0;7267.0;83853.0;12162.0;98241.0;188752.0;257539.0;308993.0;90
2.4758800785707605e+29;4975821619160760.0;705395039.6168631;54874.8012818582;7274.0;83868.0;12201.0;98720.0;189009.0;258983.0;320922.0;91
4.951760157141521e+29;7036874417766400.0;838860800.0;58813.35577584816;7285.0;83884.0;12216.0;99159.0;189348.0;260453.0;332424.0;92
9.903520314283042e+29;9951643238321520.0;997579231.8568746;63034.59396325975;7289.0;83899.0;12235.0;99595.0;188582.0;261802.0;343091.0;93
1.9807040628566084e+30;1.40737488355328e+16;1186328320.3031445;67558.8050315722;7294.0;83909.0;12299.0;100043.0;188934.0;263040.0;354065.0;94
3.961408125713217e+30;1.990328647664304e+16;1410790079.2337263;72407.73439350247;7320.0;83912.0;12339.0;100404.0;189701.0;264150.0;366946.0;95
7.922816251426434e+30;2.81474976710656e+16;1677721600.0;77604.68820533236;7335.0;83918.0;12393.0;100763.0;190312.0;264944.0;380532.0;96
1.5845632502852868e+31;3.980657295328608e+16;1995158463.7137492;83174.64538687847;7347.0;83940.0;12417.0;101087.0;190891.0;265662.0;395048.0;97
3.1691265005705735e+31;5.62949953421312e+16;2372656640.606289;89144.37768152315;7370.0;83944.0;12450.0;101491.0;191234.0;266756.0;410451.0;98
6.338253001141147e+31;7.961314590657216e+16;2821580158.4674525;95542.5783333691;7391.0;83956.0;12494.0;101877.0;191445.0;267915.0;425282.0;99
;;;;7409.0;83959.0;12544.0;102314.0;191849.0;269101.0;440215.0;100
;;;;7411.0;83959.0;12591.0;102762.0;192394.0;270108.0;456183.0;101
;;;;7461.0;83964.0;12591.0;103078.0;192819.0;271162.0;473105.0;102
;;;;7474.0;83966.0;12591.0;103418.0;193546.0;272050.0;490401.0;103
;;;;7492.0;83968.0;12727.0;103767.0;194072.0;272857.0;508953.0;104
;;;;7521.0;83970.0;12761.0;104087.0;194479.0;273888.0;528859.0;105
;;;;7558.0;83975.0;12815.0;104463.0;194631.0;274971.0;548318.0;106
;;;;7595.0;83976.0;12836.0;104629.0;194975.0;275970.0;566840.0;107
;;;;7601.0;83990.0;12875.0;104878.0;195433.0;276990.0;585481.0;108
;;;;7686.0;84010.0;12875.0;105193.0;195900.0;277974.0;604641.0;109
;;;;7764.0;84011.0;12875.0;105830.0;196711.0;278640.0;625544.0;110
;;;;7834.0;84018.0;12951.0;106097.0;197352.0;279264.0;648315.0;111
;;;;7920.0;84024.0;12968.0;106288.0;197636.0;280156.0;673165.0;112
;;;;8001.0;84029.0;12994.0;106643.0;198009.0;281038.0;697413.0;113
;;;;8066.0;84038.0;13015.0;106962.0;198526.0;281815.0;719664.0;114
;;;;8260.0;84044.0;13032.0;107185.0;198607.0;282512.0;742417.0;115
;;;;8443.0;84054.0;13032.0;107394.0;198607.0;283151.0;767296.0;116
;;;;8583.0;84063.0;13033.0;107815.0;200195.0;283785.0;793802.0;117
;;;;8755.0;84063.0;13079.0;108023.0;200195.0;284192.0;820916.0;118
;;;;8886.0;84063.0;13089.0;108334.0;199476.0;284812.0;849522.0;119
;;;;9056.0;84063.0;13101.0;108656.0;201522.0;285216.0;878254.0;120
;;;;9374.0;84081.0;13117.0;108984.0;202063.0;285279.0;906752.0;121
;;;;9553.0;84084.0;13147.0;109150.0;202981.0;285285.0;936181.0;122
;;;;9797.0;84095.0;13147.0;109348.0;203640.0;285787.0;968857.0;123
;;;;9980.0;84102.0;13147.0;109984.0;204222.0;286412.0;1003832.0;124
;;;;10251.0;84103.0;13238.0;110350.0;204222.0;286931.0;1039084.0;125
;;;;10487.0;84106.0;13262.0;110693.0;204222.0;287290.0;1077781.0;126
;;;;10810.0;84106.0;13293.0;111144.0;205597.0;287874.0;1118206.0;127
;;;;11233.0;84123.0;13325.0;111559.0;206072.0;288511.0;1155338.0;128
;;;;11441.0;84128.0;13374.0;111875.0;206072.0;289154.0;1193078.0;129
;;;;11802.0;84146.0;13374.0;112168.0;207356.0;289678.0;1238798.0;130
;;;;12069.0;84154.0;13377.0;112938.0;208015.0;290504.0;1288108.0;131
;;;;12428.0;84161.0;13466.0;113473.0;208015.0;291154.0;1337024.0;132
;;;;12894.0;84160.0;13506.0;113790.0;208015.0;291691.0;1385635.0;133
;;;;13302.0;84171.0;13554.0;114398.0;209640.0;292931.0;1435616.0;134
;;;;13595.0;84177.0;13594.0;115115.0;209640.0;293469.0;1480073.0;135
;;;;13950.0;84186.0;13642.0;115470.0;210568.0;294116.0;1531669.0;136
;;;;14403.0;84191.0;13643.0;115789.0;211102.0;294803.0;1581963.0;137
;;;;14935.0;84195.0;13665.0;116471.0;211943.0;295632.0;1634746.0;138
;;;;15303.0;84198.0;13775.0;116871.0;211943.0;296358.0;1695988.0;139
;;;;15582.0;84209.0;13811.0;117357.0;211943.0;296944.0;1750723.0;140
;;;;16298.0;84216.0;13868.0;117677.0;214023.0;297389.0;1803695.0;141
;;;;16903.0;84228.0;13964.0;118281.0;214607.0;297952.0;1855745.0;142
;;;;17280.0;84286.0;14028.0;118523.0;215605.0;298731.0;1908254.0;143
;;;;17895.0;84335.0;14028.0;118768.0;216667.0;299500.0;1964536.0;144
;;;;18318.0;84378.0;14028.0;118973.0;217797.0;300270.0;2027074.0;145
;;;;18730.0;84422.0;14235.0;119659.0;217801.0;301020.0;2088611.0;146
;;;;19445.0;84458.0;14314.0;120033.0;217801.0;301708.0;2153010.0;147
;;;;19890.0;84494.0;14440.0;120387.0;220352.0;302261.0;2215074.0;148
;;;;20272.0;84494.0;14586.0;120903.0;221077.0;303063.0;2268675.0;149
;;;;20698.0;84553.0;14747.0;121148.0;221077.0;303910.0;2329638.0;150
;;;;21084.0;84572.0;14751.0;121367.0;222469.0;304793.0;2396637.0;151
;;;;21397.0;84624.0;14759.0;122053.0;225197.0;305562.0;2461190.0;152
;;;;21713.0;84653.0;15135.0;122389.0;225198.0;306309.0;2525922.0;153
;;;;22127.0;84673.0;15291.0;122703.0;225198.0;307251.0;2589952.0;154
;;;;22358.0;84701.0;15423.0;123180.0;225198.0;307926.0;2647663.0;155
;;;;22742.0;84725.0;15590.0;123605.0;228576.0;308832.0;2702681.0;156
;;;;23035.0;84743.0;15758.0;123825.0;228576.0;309796.0;2767253.0;157
;;;;23287.0;84757.0;15867.0;124004.0;231310.0;310696.0;2836925.0;158
;;;;23558.0;84780.0;16003.0;124218.0;235207.0;311461.0;2905825.0;159
;;;;23773.0;84785.0;16127.0;125084.0;235208.0;312574.0;2975701.0;160
;;;;23989.0;84816.0;16246.0;125408.0;235237.0;313392.0;3044940.0;161
;;;;24236.0;84830.0;16336.0;125625.0;239349.0;314542.0;3106348.0;162
;;;;24407.0;84838.0;16453.0;126319.0;239355.0;315581.0;3167323.0;163
;;;;24602.0;84857.0;16525.0;126560.0;244088.0;316729.0;3224547.0;164
;;;;24811.0;84871.0;16637.0;126817.0;244096.0;318190.0;3310234.0;165
;;;;24915.0;84889.0;16715.0;127594.0;249655.0;319232.0;3387500.0;166
;;;;25053.0;84917.0;16821.0;127903.0;252965.0;320343.0;3463972.0;167
;;;;25204.0;84950.0;16905.0;128380.0;252965.0;321064.0;3542733.0;168
;;;;25322.0;84992.0;16962.0;128836.0;256533.0;322177.0;3621245.0;169
;;;;25448.0;84992.0;17052.0;129342.0;256534.0;323008.0;3691166.0;170
;;;;25547.0;85071.0;17125.0;129639.0;256534.0;324203.0;3769523.0;171
;;;;25670.0;85117.0;17204.0;129888.0;256534.0;325263.0;3853406.0;172
;;;;25746.0;85117.0;17316.0;130918.0;271960.0;326595.0;3936747.0;173
;;;;25819.0;85226.0;17410.0;131422.0;275562.0;327643.0;4023179.0;174
;;;;25923.0;85246.0;17509.0;131941.0;280459.0;328620.0;4113811.0;175
;;;;26049.0;85327.0;17620.0;132527.0;282414.0;329821.0;4204613.0;176
;;;;26136.0;85402.0;17800.0;133141.0;285902.0;330967.0;4280422.0;177
;;;;26207.0;85418.0;17974.0;133511.0;291374.0;332509.0;4370128.0;178
;;;;26278.0;85503.0;18163.0;133890.0;297485.0;333806.0;4465863.0;179
;;;;26321.0;85622.0;18310.0;134295.0;304947.0;334916.0;4562414.0;180
;;;;26373.0;85708.0;18540.0;135757.0;304947.0;336668.0;4659984.0;181
;;;;26465.0;85906.0;18784.0;136135.0;315813.0;338083.0;;182
;;;;26524.0;86045.0;19036.0;136956.0;318986.0;339415.0;;183
;;;;26564.0;86202.0;19353.0;137676.0;323968.0;340929.0;;184
;;;;26607.0;86381.0;19646.0;;331060.0;342708.0;;185
;;;;;86570.0;;;338220.0;344686.0;;186
;;;;;86783.0;;;347267.0;346513.0;;187
;;;;;86990.0;;;347267.0;349500.0;;188
;;;;;87213.0;;;347268.0;352451.0;;189
;;;;;87489.0;;;367174.0;354932.0;;190
;;;;;87655.0;;;373718.0;357613.0;;191
;;;;;87827.0;;;383292.0;360544.0;;192
;;;;;87985.0;;;392243.0;364088.0;;193
;;;;;88099.0;;;401890.0;;;194
;;;;;88206.0;;;;;;195
;;;;;88328.0;;;;;;196
;;;;;88460.0;;;;;;197
;;;;;88580.0;;;;;;198
;;;;;88672.0;;;;;;199
;;;;;88793.0;;;;;;200
;;;;;88906.0;;;;;;201
;;;;;88958.0;;;;;;202
;;;;;89045.0;;;;;;203
;;;;;89144.0;;;;;;204
;;;;;89214.0;;;;;;205
;;;;;89279.0;;;;;;206
;;;;;89375.0;;;;;;207
;;;;;89441.0;;;;;;208
;;;;;89494.0;;;;;;209
;;;;;89527.0;;;;;;210
;;;;;89567.0;;;;;;211
;;;;;89616.0;;;;;;212
;;;;;89654.0;;;;;;213
;;;;;89695.0;;;;;;214
;;;;;89718.0;;;;;;215
;;;;;89752.0;;;;;;216
;;;;;89784.0;;;;;;217
;;;;;89814.0;;;;;;218
;;;;;89836.0;;;;;;219
;;;;;89863.0;;;;;;220
;;;;;89895.0;;;;;;221
;;;;;89914.0;;;;;;222
;;;;;89933.0;;;;;;223
;;;;;89953.0;;;;;;224
;;;;;89986.0;;;;;;225
;;;;;90008.0;;;;;;226
;;;;;90025.0;;;;;;227
;;;;;90058.0;;;;;;228
;;;;;90078.0;;;;;;229
;;;;;90087.0;;;;;;230
;;;;;90100.0;;;;;;231
;;;;;90127.0;;;;;;232
;;;;;90145.0;;;;;;233
